date,open,close,high,low,volume
2023-05-18,4921.62,4924.36,4942.25,4903.87,648960888.0
2023-05-19,4913.29,4916.98,4940.48,4891.88,604866452.0
2023-05-22,4911.58,4934.47,4945.65,4903.74,583997106.0
2023-05-23,4932.41,4873.94,4933.5,4873.94,578571172.0
2023-05-24,4860.11,4833.62,4877.46,4830.37,597581947.0
2023-05-25,4825.35,4824.01,4841.38,4776.35,621123848.0
2023-05-26,4820.78,4841.93,4850.65,4791.39,580578438.0
2023-05-29,4852.79,4824.92,4860.2,4813.78,654885091.0
2023-05-30,4815.21,4841.24,4841.24,4773.54,662328791.0
2023-05-31,4830.11,4814.79,4834.72,4792.67,637123821.0
2023-06-01,4800.57,4825.01,4856.2,4794.35,689653586.0
2023-06-02,4838.07,4877.55,4883.2,4838.07,661335911.0
2023-06-05,4877.36,4871.86,4879.24,4856.2,618592816.0
2023-06-06,4866.06,4799.35,4873.8,4790.55,683817622.0
2023-06-07,4802.77,4794.77,4817.42,4781.1,573799839.0
2023-06-08,4790.88,4799.24,4820.2,4764.36,625812102.0
2023-06-09,4800.84,4827.0,4827.03,4788.34,682949165.0
2023-06-12,4818.33,4844.86,4859.92,4804.74,682105500.0
2023-06-13,4837.8,4866.3,4868.84,4836.18,644915214.0
2023-06-14,4871.55,4870.51,4889.11,4866.45,691215646.0
2023-06-15,4875.15,4921.72,4921.72,4873.4,703287871.0
2023-06-16,4925.14,4965.48,4969.35,4921.44,709490187.0
2023-06-19,4962.95,4949.89,4963.09,4943.16,715792772.0
2023-06-20,4943.84,4941.42,4957.93,4931.07,686343717.0
2023-06-21,4926.14,4853.02,4932.37,4853.02,678826155.0
2023-06-26,4817.91,4770.78,4828.85,4761.41,699414298.0
2023-06-27,4774.16,4828.32,4832.56,4773.73,626509445.0
2023-06-28,4820.71,4815.63,4824.16,4752.64,637466585.0
2023-06-29,4808.45,4818.68,4839.08,4806.57,599081020.0
2023-06-30,4812.11,4859.89,4876.05,4807.29,638146259.0
2023-07-03,4871.82,4900.64,4910.06,4867.12,721092081.0
2023-07-04,4897.24,4914.69,4914.69,4888.25,645270158.0
2023-07-05,4910.08,4877.96,4910.08,4871.71,613300015.0
2023-07-06,4866.71,4856.98,4894.47,4850.15,588083414.0
2023-07-07,4844.58,4831.17,4856.85,4818.75,602846264.0
2023-07-10,4847.6,4845.36,4866.53,4829.32,546941311.0
2023-07-11,4853.25,4879.53,4879.53,4840.95,542892479.0
2023-07-12,4876.26,4830.43,4880.98,4825.83,651112291.0
2023-07-13,4843.52,4891.43,4894.53,4843.52,636541595.0
2023-07-14,4897.25,4889.74,4904.47,4886.55,637501570.0
2023-07-17,4871.33,4862.88,4871.33,4840.61,578273378.0
2023-07-18,4866.17,4851.57,4871.31,4839.84,562595435.0
2023-07-19,4846.23,4844.29,4862.44,4819.38,514119865.0
2023-07-20,4850.33,4796.91,4863.24,4791.67,592849687.0
2023-07-21,4788.24,4791.52,4823.06,4776.91,563947213.0
2023-07-24,4777.13,4779.82,4809.63,4764.99,538838302.0
2023-07-25,4837.71,4885.71,4885.71,4837.71,752377211.0
2023-07-26,4880.59,4867.53,4880.59,4854.95,696606413.0
2023-07-27,4871.45,4847.07,4891.15,4839.29,712733561.0
2023-07-28,4833.21,4924.52,4931.47,4823.89,845623266.0
2023-07-31,4944.69,4959.94,4993.99,4944.69,955811739.0
2023-08-01,4955.37,4948.38,4970.27,4931.74,897066466.0
2023-08-02,4937.17,4926.31,4955.92,4912.47,799349992.0
2023-08-03,4913.06,4948.64,4948.72,4906.75,760734788.0
2023-08-04,4972.67,4967.31,4999.67,4953.25,916158479.0
2023-08-07,4952.05,4934.83,4952.05,4920.17,742850513.0
2023-08-08,4925.53,4918.2,4938.86,4902.35,661060220.0
2023-08-09,4903.65,4889.41,4915.53,4883.24,597048332.0
2023-08-10,4883.29,4898.82,4902.37,4868.35,569660611.0
2023-08-11,4901.12,4798.58,4901.16,4798.58,660227369.0
2023-08-14,4753.0,4789.02,4790.84,4725.4,610050996.0
2023-08-15,4790.77,4764.97,4796.81,4724.11,565504805.0
2023-08-16,4747.97,4722.82,4767.97,4722.68,574137167.0
2023-08-17,4704.58,4755.59,4760.55,4679.22,604720654.0
2023-08-18,4755.48,4683.69,4768.42,4683.69,612719830.0
2023-08-21,4673.15,4630.06,4696.3,4630.06,548079947.0
2023-08-22,4650.79,4661.4,4669.88,4585.25,651545035.0
